Sýra,Fransýzca Kelime,Tür,Türkçe Anlamý,V1 (Mastar),V2 (Geniþ Zaman),V3 (Geçmiþ Ortaç)
107,croissant,adj,,,,
107,un croissant,nm,,,,
107,croître,v,,,,
107,un accroissement,nm,,,,
107,un surcroît,nm,,,,
107,décroître,v,,,,
107,une décroissance,nf,,,,
108,une arme,nf,silah,,,
108,une armée,nf,,,,
108,armé,adj,,,,
108,armer,v,,,,
108,un armement,nm,,,,
108,un désarmement,nm,,,,
108,désarmer,v,,,,
108,un armateur,nm,,,,
109,estimer,v,"tahmin etmek, deðerlendirmek",estimer,estime,estimé
109,une estimation,nf,,,,
109,une estime,nf,,,,
110,un endroit,nm,"yer, mekân",,,
111,un comité,nm,komite,,,
112,véritable,adj,"gerçek, hakiki",,,
112,une vérité,nf,,,,
112,véritablement,adv,,,,
113,amener,v,"getirmek, beraberinde getirmek",amener,amène,amené
113,ramener,v,,,,
114,viser,v,"hedeflemek, niþan almak",viser,vise,visé
114,une visée,nf,,,,
115,un visa,nm,vize,,,
116,total,adj,"toplam, tam",,,
116,le total,nm,,,,
116,totalement,adv,,,,
116,une totalité,nf,,,,
116,totaliser,v,,,,
116,totalitaire,adj,,,,
117,une date,nf,tarih,,,
117,dater,v,,,,
118,un travers,nm,"kusur, eksik yön",,,
118,traverser,v,,,,
118,une traversée,nf,,,,
118,traversier,adj,,,,
119,un contrôle,nm,kontrol,,,
119,contrôler,v,,,,
119,un contrôleur,nm,,,,
119,incontrôlable,adj,,,,
120,énorme,adj,"muazzam, kocaman",,,
120,énormément,adv,,,,
121,conserver,v,"korumak, muhafaza etmek",conserver,conserve,conservé
121,conservateur,adj,,,,
121,un conservateur,nm,,,,
121,une conservation,nf,,,,
121,conservatoire,adj,,,,
121,un conservatoire,nm,,,,
121,une conserve,nf,,,,
122,une campagne,nf,kýrsal bölge; kampanya,,,
123,naître,v,doðmak,naître,naît,né
123,une naissance,nf,,,,
123,natal,adj,,,,
123,naissant,adj,,,,
124,tourner,v,"döndürmek, çevirmek",tourner,tourne,tourné
124,détourner,v,,,,
124,tournant,adj,,,,
124,un tournant,nm,,,,
124,une tournée,nf,,,,
124,contourner,v,,,,
